바이브코딩 유추 플랫폼,링크,바이브코딩 의심 점수,취약점,취약한 데이터,게시날짜,site_id,original_url,final_url,domain,http_status,page_title,html_lang,korea_score,korea_class,hangul_ratio,builder,builder_score,builder_class,builder_evidence,framework,external_domains,response_time,scan_timestamp,needs_deep_scan,published_date,error
Unknown,https://yangmao.ai/zh/,0,NOT_SCANNED,,,388f14df9bb8ebd1,https://yangmao.ai/,https://yangmao.ai/zh/,yangmao.ai,200,yangmao.ai — 全球 AI 工具价格、模型能力和免费额度每日雷达,zh-cn,0,NON_KR_OR_UNKNOWN,0.0,unknown,0,UNKNOWN,[],{},"[""fonts.googleapis.com"", ""fonts.gstatic.com"", ""umami.thew0rm.com""]",0.8948,2026-09-17T07:31:52.209503+00:00,False,,
Unknown,https://cowork.mo.ai.kr/,0,NOT_SCANNED,,,d2675c1cf89a6a0b,https://cowork.mo.ai.kr/,https://cowork.mo.ai.kr/,cowork.mo.ai.kr,200,모두의 코워크,ko,8,KR_CONFIRMED,0.756,unknown,0,UNKNOWN,[],{},"[""cdn.jsdelivr.net"", ""fonts.googleapis.com"", ""fonts.gstatic.com""]",0.2122,2026-09-17T07:31:52.176416+00:00,False,,
Unknown,https://skills.911fund.io/,0,NOT_SCANNED,,,1748e4edf85b1c4b,https://skills.911fund.io/,https://skills.911fund.io/,skills.911fund.io,200,Skill of Skills - AI Coding Skills Directory,en,0,NON_KR_OR_UNKNOWN,0.0,unknown,0,UNKNOWN,[],"{""framework"": ""next.js""}",[],1.0609,2026-09-17T07:31:52.189402+00:00,False,,
